id,motor,propeller,battery,number_of_batteries,cost,useful_thrust,avail_weight,endurance,throttle
49a57bb6,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100001, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",5,2352.84,-2708.177777777777,6809.6,87.87519190075099,67.2038784067086
52301d5b,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100002, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",1,2352.84,2571.8222222222225,12089.6,17.575038380150204,67.2038784067086
c84e5ea2,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100002, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",2,2352.84,1251.822222222223,10769.6,35.15007676030041,67.2038784067086
e73fa6c0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100002, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",3,2352.84,-68.17777777777701,9449.6,52.72511514045061,67.2038784067086
caedb951,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100002, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",4,2352.84,-1388.177777777777,8129.6,70.30015352060082,67.2038784067086
310af5f2,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100002, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",5,2352.84,-2708.177777777777,6809.6,87.87519190075099,67.2038784067086
f9b4d46c,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100003, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",1,2352.84,2571.8222222222225,12089.6,17.575038380150204,67.2038784067086
fe7ed3f6,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100003, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",2,2352.84,1251.822222222223,10769.6,35.15007676030041,67.2038784067086
255b6d9d,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100003, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",3,2352.84,-68.17777777777701,9449.6,52.72511514045061,67.2038784067086
325ca65e,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100003, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",4,2352.84,-1388.177777777777,8129.6,70.30015352060082,67.2038784067086
